OrderDate,OrderID,Customer,Segment,Region,Product,Category,SubCategory,Quantity,UnitPrice,DiscountPct,PaymentMethod,SalesChannel,Sales,COGS,Profit
2023-01-01,SO-10001,Aperture Labs,Consumer,East,Art 350,Office Supplies,Art,1,167.0,0.1,Wire,Online,150.3,120.24,30.06
2023-01-02,SO-10013,Oscorp,Consumer,Central,Copiers 317,Technology,Copiers,1,527.47,0.0,Cash,Retail,527.47,411.43,116.04
2023-01-02,SO-10007,Gringotts,Home Office,South,Machines 180,Technology,Machines,2,13.65,0.0,PayPal,Wholesale,27.3,21.3,6.0
2023-01-02,SO-10009,Globex Ltd,Consumer,West,Bookcases 564,Furniture,Bookcases,1,213.88,0.0,PayPal,Online,213.88,175.38,38.5
2023-01-02,SO-10008,Tyrell Corp,Home Office,Central,Phones 146,Technology,Phones,3,446.27,0.0,Wire,Retail,1338.81,1044.27,294.54
2023-01-03,SO-10016,Wonka LLC,Consumer,East,Accessories 742,Technology,Accessories,1,16.88,0.0,Wire,Wholesale,16.88,13.17,3.71
2023-01-03,SO-10018,Hooli,Home Office,East,Binders 798,Office Supplies,Binders,2,20.08,0.05,PayPal,Wholesale,38.15,28.92,9.23
2023-01-03,SO-10015,Tyrell Corp,Home Office,South,Bookcases 324,Furniture,Bookcases,1,570.62,0.2,Wire,Wholesale,456.5,467.91,-11.41
2023-01-03,SO-10019,Wayne Enterprises,Corporate,East,Tables 564,Furniture,Tables,1,518.5,0.0,Card,Wholesale,518.5,425.17,93.33
2023-01-04,SO-10020,Vehement Capital,Home Office,Central,Phones 991,Technology,Phones,1,407.14,0.0,PayPal,Wholesale,407.14,317.57,89.57
2023-01-04,SO-10023,Acme Corp,Home Office,West,Phones 849,Technology,Phones,1,365.72,0.1,Cash,Online,329.15,285.26,43.89
2023-01-04,SO-10025,Cyberdyne,Consumer,South,Paper 830,Office Supplies,Paper,1,273.9,0.0,PayPal,Retail,273.9,197.21,76.69
2023-01-04,SO-10024,Pied Piper,Consumer,West,Storage 662,Office Supplies,Storage,1,171.06,0.0,Wire,Retail,171.06,123.16,47.9
2023-01-04,SO-10026,Aperture Labs,Corporate,Central,Storage 223,Office Supplies,Storage,1,433.41,0.0,Wire,Online,433.41,312.06,121.35
2023-01-05,SO-10033,Umbrella Co,Home Office,West,Tables 532,Furniture,Tables,1,487.95,0.15,Wire,Retail,414.76,400.12,14.64
2023-01-05,SO-10030,Vehement Capital,Consumer,South,Furnishings 294,Furniture,Furnishings,3,264.76,0.0,Card,Online,794.28,651.3,142.98
2023-01-05,SO-10031,Aperture Labs,Corporate,South,Furnishings 578,Furniture,Furnishings,1,302.8,0.0,Card,Wholesale,302.8,248.3,54.5
2023-01-05,SO-10027,Globex Ltd,Consumer,Central,Paper 702,Office Supplies,Paper,1,252.35,0.0,Wire,Online,252.35,181.69,70.66
2023-01-05,SO-10032,Aperture Labs,Consumer,East,Bookcases 919,Furniture,Bookcases,1,426.56,0.0,Card,Online,426.56,349.78,76.78
2023-01-06,SO-10038,Umbrella Co,Home Office,East,Binders 865,Office Supplies,Binders,1,207.46,0.0,PayPal,Online,207.46,149.37,58.09
2023-01-06,SO-10034,Wonka LLC,Consumer,West,Chairs 151,Furniture,Chairs,1,302.61,0.0,Card,Online,302.61,248.14,54.47
2023-01-07,SO-10046,Globex Ltd,Corporate,West,Phones 860,Technology,Phones,1,48.14,0.05,Wire,Retail,45.73,37.55,8.18
2023-01-07,SO-10050,Gringotts,Home Office,South,Phones 177,Technology,Phones,1,193.44,0.1,Wire,Wholesale,174.1,150.88,23.22
2023-01-07,SO-10042,Umbrella Co,Consumer,Central,Furnishings 234,Furniture,Furnishings,1,578.02,0.0,PayPal,Retail,578.02,473.98,104.04
2023-01-07,SO-10044,Stark Industries,Corporate,West,Accessories 478,Technology,Accessories,2,199.2,0.0,PayPal,Online,398.4,310.76,87.64
2023-01-07,SO-10040,Globex Ltd,Home Office,East,Machines 222,Technology,Machines,1,261.39,0.05,Wire,Wholesale,248.32,203.88,44.44
2023-01-07,SO-10049,Acme Corp,Consumer,Central,Art 265,Office Supplies,Art,1,417.37,0.15,Cash,Wholesale,354.76,300.51,54.25
2023-01-07,SO-10045,Wonka LLC,Home Office,Central,Binders 783,Office Supplies,Binders,1,306.62,0.05,PayPal,Wholesale,291.29,220.77,70.52
2023-01-07,SO-10048,Wonka LLC,Consumer,Central,Machines 949,Technology,Machines,1,534.36,0.1,PayPal,Online,480.92,416.8,64.12
2023-01-08,SO-10051,Acme Corp,Home Office,Central,Paper 540,Office Supplies,Paper,1,238.01,0.1,Wire,Online,214.21,171.37,42.84
2023-01-08,SO-10053,Globex Ltd,Home Office,Central,Tables 342,Furniture,Tables,1,176.19,0.0,Wire,Online,176.19,144.48,31.71
2023-01-08,SO-10052,Stark Industries,Consumer,Central,Tables 798,Furniture,Tables,1,247.06,0.0,Wire,Wholesale,247.06,202.59,44.47
2023-01-09,SO-10057,Acme Corp,Corporate,West,Bookcases 985,Furniture,Bookcases,1,255.91,0.0,Card,Retail,255.91,209.85,46.06
2023-01-09,SO-10062,Aperture Labs,Home Office,Central,Chairs 837,Furniture,Chairs,3,144.45,0.0,PayPal,Wholesale,433.35,355.35,78.0
2023-01-09,SO-10060,Tyrell Corp,Corporate,East,Paper 360,Office Supplies,Paper,1,368.95,0.0,Card,Wholesale,368.95,265.64,103.31
2023-01-09,SO-10058,Wayne Enterprises,Home Office,South,Art 128,Office Supplies,Art,1,313.8,0.0,Card,Retail,313.8,225.94,87.86
2023-01-09,SO-10059,Initech,Consumer,Central,Machines 453,Technology,Machines,1,69.47,0.0,PayPal,Retail,69.47,54.19,15.28
2023-01-10,SO-10063,Stark Industries,Corporate,South,Bookcases 667,Furniture,Bookcases,1,299.19,0.0,Wire,Online,299.19,245.34,53.85
2023-01-10,SO-10064,Oscorp,Home Office,South,Paper 730,Office Supplies,Paper,1,317.71,0.15,PayPal,Retail,270.05,228.75,41.3
2023-01-10,SO-10068,Stark Industries,Consumer,West,Phones 147,Technology,Phones,1,569.06,0.0,Wire,Retail,569.06,443.87,125.19
2023-01-10,SO-10066,Wonka LLC,Home Office,South,Machines 912,Technology,Machines,1,243.95,0.0,Wire,Wholesale,243.95,190.28,53.67
2023-01-11,SO-10074,Stark Industries,Home Office,West,Furnishings 741,Furniture,Furnishings,1,91.27,0.05,Wire,Retail,86.71,74.84,11.87
2023-01-11,SO-10069,Tyrell Corp,Corporate,East,Tables 835,Furniture,Tables,4,144.54,0.1,Cash,Retail,520.34,474.08,46.26
2023-01-11,SO-10071,Umbrella Co,Home Office,West,Storage 151,Office Supplies,Storage,1,398.04,0.0,Wire,Online,398.04,286.59,111.45
2023-01-11,SO-10070,Oscorp,Consumer,West,Binders 868,Office Supplies,Binders,1,92.7,0.1,Card,Retail,83.43,66.74,16.69
2023-01-11,SO-10072,Wonka LLC,Corporate,West,Art 873,Office Supplies,Art,1,301.53,0.05,Cash,Wholesale,286.45,217.1,69.35
2023-01-12,SO-10077,Umbrella Co,Corporate,East,Bookcases 655,Furniture,Bookcases,2,160.89,0.0,Cash,Retail,321.78,263.86,57.92
2023-01-12,SO-10082,Tyrell Corp,Consumer,East,Storage 238,Office Supplies,Storage,1,355.02,0.0,Cash,Online,355.02,255.61,99.41
2023-01-12,SO-10081,Aperture Labs,Home Office,South,Machines 230,Technology,Machines,2,212.99,0.05,Card,Retail,404.68,332.26,72.42
2023-01-12,SO-10086,Umbrella Co,Consumer,West,Paper 344,Office Supplies,Paper,1,239.74,0.0,Wire,Retail,239.74,172.61,67.13
2023-01-12,SO-10076,Vehement Capital,Consumer,East,Accessories 492,Technology,Accessories,1,82.91,0.0,Wire,Wholesale,82.91,64.67,18.24
2023-01-12,SO-10084,Pied Piper,Corporate,South,Bookcases 954,Furniture,Bookcases,5,83.29,0.0,Card,Retail,416.45,341.5,74.95
2023-01-12,SO-10085,Acme Corp,Corporate,East,Phones 899,Technology,Phones,3,186.69,0.05,Card,Online,532.07,436.86,95.21
